,CA,SVM,D,MA,B,M,C,MHR,CANS,L,P,IncO,IncN,CamO,CamN,ConO,ConN,Confi,HyMS,AMIP,OTI,BYA,CostN,AE,AEOCN,NServ,Nteam,TieL,Ent,Mom,Tem,CulM,Cre,Mod,Bar,Obj,Inf,BenNube,MedBNube,ML,Cluster,Nombre Cluster
81,ea82e8e1a34b04b0f20fcbc414e297605b068e4cf1255da4382c2dc42af6594b,3.0,0.4995524691666667,24.666666666666668,1.0833333333333333,0.0,0.0833333333333333,74.09921296416667,1.1666666666666665,34.731856515000004,14.2262877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,4.5,1.5,1.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.5,1.0,1.4630681770457905,1.4,-0.5,Cluster de adaptación
82,6b17bb2c784f01ebf5d31b72ea45c4a54ff30afd51998a3a52a5d40fcd17b1cb,4.25,0.4971282329166667,54.0,10.25,0.5,0.0833333333333333,376.4016666548334,10.833333333333334,3.872427688,31.967204555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.5,1.5,30.5,13.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.992699673391194,1.4,2.0,Cluster Desafío en la Entrega
83,324cf1c5527f31936afc5bf65bca5e953ff11d7c22d8d1f268e1885a61896b1d,4.5,0.49599416125,113.25,0.0,0.0,0.0833333333333333,0.07557870366666665,0.0833333333333333,23.42604548,6.5155074,0.0,1.0,0.0,1.5,0.0,1.5,1.0,1.5,1.5,1.0,0.0,1.0,0.0,0.0,31.0,11.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.8396635780784745,1.6,1.0,Cluster Eficiencia en Entrega
84,dc0c9bb2e54d58bb39212b5d49f805cad6bbe83af30f18a97f2676b9a9754405,3.0,0.49821993225,96.16666666666664,1.4166666666666665,2.5,0.0,151.6879398135,3.9166666666666665,34.731856515000004,14.2262877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.5,4.5,1.5,1.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0,1.0,1.463050274690319,1.4,-0.5,Cluster de adaptación
85,d238369d6f019e1b95ff435b8253ad227e3a89e3c81f03939251c2d98915658c,3.0,0.49821993225,96.16666666666664,1.6666666666666665,0.8333333333333334,0.0,55.3137731475,2.5,22.952606810000002,24.18343487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.5,4.5,1.5,1.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0,1.0,1.4062990225008587,1.4,-0.5,Cluster de adaptación
86,480365739fad0d9d0a46000ebac753ba734a5d4abc31ad441f674fad27e21efb,3.0,0.49821993225,96.16666666666664,0.3333333333333333,0.0,0.0,14.649675925000002,0.3333333333333333,34.731856515000004,14.2262877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.5,4.5,1.5,1.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0,1.0,1.463050274690319,1.4,-0.5,Cluster de adaptación
87,25f7245ef15a8a9c04a0f4eaa14007f7c483c40acdf87361e1c8fa0b8be03ba5,4.25,0.4969059330833334,59.83333333333334,0.0833333333333333,0.0,0.0,5.034398148333334,0.0833333333333333,17.332886625,6.93625707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.5,1.5,32.0,13.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.839675827542835,1.0,2.0,Cluster Desafío en la Entrega
88,3e42503394bb62112c58856f41027f43a9b908860ad53c85f774968e0b3f71ed,4.5,0.4978009259166667,95.0,20.916666666666668,0.0,0.0,926.6556712645834,20.916666666666668,14.469873055,7.026924745,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,32.5,2.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.2989757675537161,1.2,2.0,Cluster Desafío en la Entrega
89,c3598cb4d321bdb6a99aa565a2d35cc9fef8412c36efea8ae50f30c5605da5ad,4.0,0.4968845573333334,60.33333333333334,9.666666666666664,0.0,0.0833333333333333,976.9687963095,9.75,16.82987306,7.88937816,1.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,33.0,11.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.29248547753858,1.4,0.5,Cluster Transición en Progreso
90,222117a60a36148d314b68a4640327ddde787cc59e466ac38ec78613b33ec754,4.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,19.79685953,7.451502895,1.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,33.5,11.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.833,1.0,0.5,Cluster Transición en Progreso
91,36e3089362bd3932db05eac66c44934f21afa05fec562c0ed292325e721092ec,4.0,0.4881062531666666,152.83333333333334,1.3333333333333333,0.0833333333333333,0.0,68.63155092725,1.4166666666666665,19.79685953,7.451502895,1.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,34.0,11.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.839557605679008,1.4,0.5,Cluster Transición en Progreso
92,e0444a41731dc4a3b87f9c9f4fde6ece27924fd743e660795025104f220384bc,4.0,0.4995959341666666,21.08333333333333,4.583333333333333,0.0,0.0,418.44791666158335,4.583333333333333,43.684671195,37.426045775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.5,7.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.7488282520571076,1.4,2.0,Cluster Desafío en la Entrega
93,92f7909087e29e133ccb270daa96396414e163806f66bc783276cc6ab89dcd7e,4.0,0.4971832331666666,123.83333333333331,0.0,0.0,0.0,5e-06,0.0,47.432395835,8.066279985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,0.0,35.5,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.627887356651846,1.6,1.5,Cluster Avance y rápida recuperación
